state,2016,2017,2018,2019,2020
Arkansas,90.88,91.48,93.75,94.18,94.16
Arkansas,90.02,90.09,93.1,94.59,91.36
Arkansas,93.82,94.24,95.66,95.41,95.24
Arkansas,96.56,96.92,97.29,97.58,95.49
Arkansas,91.57,93.94,95.62,95.46,94.56
Arkansas,89.03,90.59,91.96,92.43,97.43
Arkansas,93.19,94.26,93.86,95.61,95.51
Arkansas,93.99,94.87,95.26,96.34,94.32
Arkansas,89.21,89.88,90.3,90.14,91.97
Arkansas,92.13,95.51,97.31,98.01,95.52
Arkansas,92.97,94.71,94.96,94.84,89.16
Arkansas,91.54,94.47,95.32,95.69,96.41
Arkansas,91.1,93.41,94.53,94.5,94.18
Arkansas,90.69,90.49,89.8,89.14,94.89
Arkansas,92.77,92.89,94.07,93.29,96.91
Arkansas,93.66,93.96,94.16,93.8,93.47
Arkansas,92.93,93.8,94.94,95.45,92.67
Arkansas,90.87,91.59,90.57,91.2,94.17
Arkansas,92.51,93.16,94.26,93.91,95.23
Arkansas,92.92,93.57,95.09,96.66,90.71
Arkansas,87.18,87.78,89.25,91.83,92.96
Arkansas,87.09,91.02,94.23,96.13,93.01
Arkansas,94.17,94.95,95.31,96.23,95.01
Arkansas,91.15,93.42,96.95,96.92,97.21
Arkansas,92.68,93.13,93.44,94.33,96.44
Arkansas,90.89,90.98,92.91,94.52,94.56
Arkansas,92.03,91.34,92.92,96.1,94.9
Arkansas,91.84,92.99,93.04,92.37,93.69
Arkansas,91.67,93.58,94.46,95.39,96.74
Arkansas,93.17,93.85,92.52,93.98,92.55
Arkansas,92.62,94.27,93.62,93.18,94.29
Arkansas,93.28,94.02,95.15,95.27,94.43
Arkansas,90.43,90.44,90.72,91.37,93.43
Arkansas,92.29,93.03,93.35,92.49,95.7
Arkansas,90.26,90.01,90.02,90.87,89.28
Arkansas,94.25,95.26,95.92,96.2,89.41
Arkansas,88.91,91.68,94.16,94.61,91.4
Arkansas,91.84,91.81,92.8,92.79,96.06
Arkansas,83.62,84.68,84.73,87.74,93.28
Arkansas,88.44,91.88,96.5,97.66,92.17
Arkansas,91.16,89.71,89.19,90.03,86.19
Arkansas,91.88,91.94,91.24,93.79,98.33
Arkansas,94.39,95.19,95.8,96.41,92.11
