ID,StateCode,CountyCode,CountyName,Year,Force,Employed,Unemployed,Percent
CN0100100000000,01,001,"Autauga County, AL",2013,"25,744     ","24,140     ","1,604     ",6.2     
CN0100300000000,01,003,"Baldwin County, AL",2013,"85,061     ","79,414     ","5,647     ",6.6     
CN0100500000000,01,005,"Barbour County, AL",2013,"9,077     ","8,147     ",930     ,10.2     
CN0100700000000,01,007,"Bibb County, AL",2013,"8,683     ","7,995     ",688     ,7.9     
CN0100900000000,01,009,"Blount County, AL",2013,"24,823     ","23,263     ","1,560     ",6.3     
CN0101100000000,01,011,"Bullock County, AL",2013,"4,766     ","4,319     ",447     ,9.4     
CN0101300000000,01,013,"Butler County, AL",2013,"9,124     ","8,184     ",940     ,10.3     
CN0101500000000,01,015,"Calhoun County, AL",2013,"48,282     ","44,043     ","4,239     ",8.8     
CN0101700000000,01,017,"Chambers County, AL",2013,"15,236     ","14,020     ","1,216     ",8.0     
CN0101900000000,01,019,"Cherokee County, AL",2013,"11,374     ","10,621     ",753     ,6.6     
CN0102100000000,01,021,"Chilton County, AL",2013,"19,309     ","18,042     ","1,267     ",6.6     
CN0102300000000,01,023,"Choctaw County, AL",2013,"4,691     ","4,258     ",433     ,9.2     
CN0102500000000,01,025,"Clarke County, AL",2013,"8,265     ","7,126     ","1,139     ",13.8     
CN0102700000000,01,027,"Clay County, AL",2013,"5,380     ","4,930     ",450     ,8.4     
CN0102900000000,01,029,"Cleburne County, AL",2013,"5,815     ","5,369     ",446     ,7.7     
CN0103100000000,01,031,"Coffee County, AL",2013,"20,463     ","19,054     ","1,409     ",6.9     
CN0103300000000,01,033,"Colbert County, AL",2013,"23,835     ","21,878     ","1,957     ",8.2     
CN0103500000000,01,035,"Conecuh County, AL",2013,"4,683     ","4,180     ",503     ,10.7     
CN0103700000000,01,037,"Coosa County, AL",2013,"4,440     ","4,033     ",407     ,9.2     
CN0103900000000,01,039,"Covington County, AL",2013,"16,023     ","14,728     ","1,295     ",8.1     
CN0104100000000,01,041,"Crenshaw County, AL",2013,"6,295     ","5,813     ",482     ,7.7     
CN0104300000000,01,043,"Cullman County, AL",2013,"35,690     ","33,313     ","2,377     ",6.7     
CN0104500000000,01,045,"Dale County, AL",2013,"20,697     ","19,168     ","1,529     ",7.4     
CN0104700000000,01,047,"Dallas County, AL",2013,"16,252     ","14,262     ","1,990     ",12.2     
CN0104900000000,01,049,"DeKalb County, AL",2013,"28,960     ","26,752     ","2,208     ",7.6     
CN0105100000000,01,051,"Elmore County, AL",2013,"36,835     ","34,565     ","2,270     ",6.2     
CN0105300000000,01,053,"Escambia County, AL",2013,"14,255     ","13,029     ","1,226     ",8.6     
CN0105500000000,01,055,"Etowah County, AL",2013,"43,751     ","40,429     ","3,322     ",7.6     
CN0105700000000,01,057,"Fayette County, AL",2013,"6,390     ","5,859     ",531     ,8.3     
CN0105900000000,01,059,"Franklin County, AL",2013,"13,644     ","12,545     ","1,099     ",8.1     
CN0106100000000,01,061,"Geneva County, AL",2013,"11,016     ","10,249     ",767     ,7.0     
CN0106300000000,01,063,"Greene County, AL",2013,"2,990     ","2,607     ",383     ,12.8     
CN0106500000000,01,065,"Hale County, AL",2013,"6,193     ","5,472     ",721     ,11.6     
CN0106700000000,01,067,"Henry County, AL",2013,"6,936     ","6,403     ",533     ,7.7     
CN0106900000000,01,069,"Houston County, AL",2013,"45,597     ","42,438     ","3,159     ",6.9     
CN0107100000000,01,071,"Jackson County, AL",2013,"23,626     ","21,763     ","1,863     ",7.9     
CN0107300000000,01,073,"Jefferson County, AL",2013,"314,592     ","293,637     ","20,955     ",6.7     
CN0107500000000,01,075,"Lamar County, AL",2013,"5,787     ","5,380     ",407     ,7.0     
CN0107700000000,01,077,"Lauderdale County, AL",2013,"43,039     ","39,976     ","3,063     ",7.1     
CN0107900000000,01,079,"Lawrence County, AL",2013,"14,246     ","13,058     ","1,188     ",8.3     
CN0108100000000,01,081,"Lee County, AL",2013,"70,341     ","66,202     ","4,139     ",5.9     
CN0108300000000,01,083,"Limestone County, AL",2013,"39,333     ","36,870     ","2,463     ",6.3     
CN0108500000000,01,085,"Lowndes County, AL",2013,"3,999     ","3,434     ",565     ,14.1     
CN0108700000000,01,087,"Macon County, AL",2013,"8,393     ","7,583     ",810     ,9.7     
CN0108900000000,01,089,"Madison County, AL",2013,"170,919     ","160,119     ","10,800     ",6.3     
CN0109100000000,01,091,"Marengo County, AL",2013,"7,614     ","6,936     ",678     ,8.9     
CN0109300000000,01,093,"Marion County, AL",2013,"12,455     ","11,468     ",987     ,7.9     
CN0109500000000,01,095,"Marshall County, AL",2013,"40,510     ","37,740     ","2,770     ",6.8     
